theta1,theta2,omega1,omega2,t
1.570796,1.570796,0.000000,0.000000,0.000000
1.565891,1.570796,-0.490491,-0.000016,0.020000
1.551178,1.570793,-0.980734,-0.000456,0.040000
1.526671,1.570762,-1.469496,-0.003435,0.060000
1.492428,1.570604,-1.953622,-0.014366,0.080000
1.448595,1.570069,-2.427299,-0.043232,0.100000
1.395463,1.568657,-2.881842,-0.104987,0.120000
1.333522,1.565525,-3.306339,-0.218459,0.140000
1.263488,1.559440,-3.689248,-0.403499,0.160000
1.186298,1.548792,-4.020341,-0.677165,0.180000
1.103072,1.531686,-4.291949,-1.050491,0.200000
1.015053,1.506081,-4.498758,-1.527162,0.220000
0.923583,1.469929,-4.636367,-2.104133,0.240000
0.830094,1.421300,-4.699542,-2.773234,0.260000
0.736145,1.358462,-4.681138,-3.522836,0.280000
0.643453,1.279940,-4.572202,-4.339244,0.300000
0.553923,1.184543,-4.363460,-5.207904,0.320000
0.469627,1.071372,-4.048316,-6.114243,0.340000
0.392698,0.939823,-3.627995,-7.042842,0.360000
0.325097,0.789652,-3.120683,-7.971282,0.380000
0.268123,0.621272,-2.578108,-8.852099,0.400000
0.221503,0.436562,-2.108680,-9.580504,0.420000
0.182179,0.240235,-1.877002,-9.982925,0.440000
0.143898,0.040470,-2.014861,-9.911964,0.460000
0.099251,-0.153209,-2.495140,-9.394022,0.480000
0.042841,-0.333394,-3.162893,-8.591097,0.500000
-0.027498,-0.495935,-3.868200,-7.647635,0.520000
-0.111526,-0.638883,-4.521414,-6.640177,0.540000
-0.207723,-0.761358,-5.081081,-5.604877,0.560000
-0.314046,-0.863057,-5.532944,-4.566728,0.580000
-0.428312,-0.944192,-5.875608,-3.553757,0.600000
-0.548353,-1.005615,-6.110566,-2.602313,0.620000
-0.671995,-1.049003,-6.234358,-1.758866,0.640000
-0.796902,-1.077055,-6.234205,-1.078008,0.660000
-0.920412,-1.093558,-6.091988,-0.610777,0.680000
-1.039569,-1.103083,-5.799314,-0.380239,0.700000
-1.151487,-1.110186,-5.373337,-0.360049,0.720000
-1.253884,-1.118436,-4.854937,-0.481939,0.740000
-1.345377,-1.129890,-4.289981,-0.668581,0.760000
-1.425409,-1.145210,-3.713299,-0.860851,0.780000
-1.493968,-1.164130,-3.144966,-1.024820,0.800000
-1.551324,-1.185917,-2.593862,-1.146404,0.820000
-1.597853,-1.209690,-2.062181,-1.223866,0.840000
-1.633933,-1.234610,-1.548551,-1.262210,0.860000
-1.659894,-1.259973,-1.049751,-1.269800,0.880000
-1.675994,-1.285262,-0.561587,-1.256478,0.900000
-1.682397,-1.310161,-0.079351,-1.232502,0.920000
-1.679175,-1.334558,0.401831,-1.207841,0.940000
-1.666300,-1.358531,0.886599,-1.191446,0.960000
-1.643661,-1.382318,1.378702,-1.190182,0.980000
-1.611090,-1.406261,1.879907,-1.207054,1.000000
-1.568415,-1.430700,2.388304,-1.238470,1.020000
-1.515559,-1.455809,2.896192,-1.270793,1.040000
-1.452669,-1.481366,3.388570,-1.277802,1.060000
-1.380260,-1.506506,3.844448,-1.222478,1.080000
-1.299279,-1.529586,4.242583,-1.065860,1.100000
-1.211036,-1.548271,4.569309,-0.779840,1.120000
-1.117001,-1.559847,4.822212,-0.354843,1.140000
-1.018605,-1.561579,5.006597,0.202599,1.160000
-0.917153,-1.550958,5.128399,0.877668,1.180000
-0.813877,-1.525801,5.188676,1.653426,1.200000
-0.710055,-1.484262,5.181436,2.513085,1.220000
-0.607153,-1.424829,5.094034,3.439958,1.240000
-0.506943,-1.346326,4.909097,4.417359,1.260000
-0.411569,-1.247902,4.607379,5.429854,1.280000
-0.323547,-1.128975,4.171260,6.466183,1.300000
-0.245697,-0.989122,3.588992,7.522691,1.320000
-0.180965,-0.827906,2.861444,8.603185,1.340000
-0.132029,-0.644844,2.018637,9.703601,1.360000
-0.100339,-0.440042,1.164572,10.754229,1.380000
-0.083865,-0.216603,0.552880,11.508018,1.400000
-0.074224,0.015645,0.524340,11.585472,1.420000
-0.058570,0.241805,1.122262,10.935548,1.440000
-0.027284,0.450608,2.029271,9.912412,1.460000
0.022728,0.637735,2.962247,8.795955,1.480000
0.090510,0.802433,3.794323,7.674478,1.500000
0.173547,0.944733,4.484841,6.555419,1.520000
0.268919,1.064634,5.028507,5.434547,1.540000
0.373776,1.162129,5.436000,4.316364,1.560000
0.485573,1.237403,5.725863,3.215602,1.580000
0.602164,1.291014,5.918608,2.154302,1.600000
0.721782,1.324022,6.030572,1.160362,1.620000
0.842890,1.338114,6.067221,0.269617,1.640000
0.963899,1.335810,6.017391,-0.470362,1.660000
1.082828,1.320683,5.854147,-1.003583,1.680000
1.197125,1.297333,5.551433,-1.289557,1.700000
1.303962,1.270686,5.112247,-1.341103,1.720000
1.400974,1.244767,4.577714,-1.232049,1.740000
1.486805,1.221842,4.002662,-1.056279,1.760000
1.561091,1.202478,3.428349,-0.884806,1.780000
1.624086,1.186167,2.875520,-0.754749,1.800000
1.676298,1.171926,2.350292,-0.678398,1.820000
1.718273,1.158680,1.851183,-0.654408,1.840000
1.750488,1.145452,1.373496,-0.675090,1.860000
1.773317,1.131447,0.911455,-0.730156,1.880000
1.787011,1.116091,0.459101,-0.808391,1.900000
1.791707,1.099034,0.010638,-0.898294,1.920000
1.787426,1.080159,-0.439461,-0.988225,1.940000
1.774082,1.059584,-0.896438,-1.066341,1.960000
1.751489,1.037665,-1.365286,-1.120450,1.980000
1.719359,1.015010,-1.850833,-1.137880,2.000000
1.677312,0.992482,-2.357878,-1.105429,2.020000
1.624868,0.971216,-2.891364,-1.009545,2.040000
1.561447,0.952612,-3.456450,-0.837021,2.060000
1.486366,0.938320,-4.058061,-0.576926,2.080000
1.398862,0.930149,-4.698785,-0.225491,2.100000
1.298188,0.929822,-5.372556,0.202448,2.120000
1.183920,0.938402,-6.050440,0.650630,2.140000
1.056607,0.955158,-6.661164,0.992692,2.160000
0.918656,0.976151,-7.096191,1.043827,2.180000
0.774480,0.994027,-7.278460,0.671323,2.200000
0.629090,1.000325,-7.227907,-0.097208,2.220000
0.486414,0.988385,-7.018941,-1.128835,2.240000
0.349018,0.954269,-6.705397,-2.297580,2.260000
0.218794,0.896125,-6.301476,-3.521153,2.280000
0.097629,0.813392,-5.796922,-4.750103,2.300000
-0.012294,0.706284,-5.174422,-5.955265,2.320000
-0.108475,0.575433,-4.421699,-7.123305,2.340000
-0.188298,0.421600,-3.540797,-8.254103,2.360000
-0.249435,0.245509,-2.561948,-9.347031,2.380000
-0.290701,0.048254,-1.577269,-10.353498,2.400000
-0.313869,-0.166845,-0.798735,-11.085100,2.420000
-0.326078,-0.391127,-0.522490,-11.225917,2.440000
-0.338787,-0.611208,-0.828976,-10.688589,2.460000
-0.361429,-0.816113,-1.463108,-9.767281,2.480000
-0.397632,-1.001335,-2.151430,-8.753477,2.500000
-0.446922,-1.166451,-2.758831,-7.765773,2.520000
-0.507135,-1.312307,-3.240178,-6.828214,2.540000
-0.575633,-1.439905,-3.587694,-5.939460,2.560000
-0.649793,-1.550198,-3.808119,-5.097763,2.580000
-0.727194,-1.644147,-3.914167,-4.305887,2.600000
-0.805696,-1.722805,-3.920773,-3.569849,2.620000
-0.883462,-1.787360,-3.842938,-2.896563,2.640000
-0.958942,-1.839126,-3.694368,-2.291950,2.660000
-1.030843,-1.879522,-3.486746,-1.759833,2.680000
-1.098082,-1.910012,-3.229553,-1.301478,2.700000
-1.159746,-1.932065,-2.930308,-0.915554,2.720000
-1.215055,-1.947093,-2.595056,-0.598286,2.740000
-1.263342,-1.956415,-2.228947,-0.343719,2.760000
-1.304039,-1.961208,-1.836755,-0.144042,2.780000
-1.336670,-1.962481,-1.423229,0.010005,2.800000
-1.360858,-1.961044,-0.993270,0.128676,2.820000
-1.376325,-1.957498,-0.551956,0.222770,2.840000
-1.382895,-1.952224,-0.104490,0.303273,2.860000
-1.380499,-1.945385,0.343849,0.381151,2.880000
-1.369171,-1.936923,0.787716,0.467270,2.900000
-1.349056,-1.926567,1.221693,0.572384,2.920000
-1.320406,-1.913830,1.640271,0.707072,2.940000
-1.283585,-1.898019,2.037850,0.881545,2.960000
-1.239070,-1.878240,2.408742,1.105305,2.980000
-1.187452,-1.853422,2.747125,1.386679,3.000000
-1.129442,-1.822343,3.046902,1.732338,3.020000
-1.065878,-1.783668,3.301448,2.146871,3.040000
-0.997736,-1.735993,3.503290,2.632484,3.060000
-0.926154,-1.677896,3.643836,3.188879,3.080000
-0.852456,-1.607983,3.713312,3.813361,3.100000
-0.778167,-1.524938,3.701098,4.501243,3.120000
-0.705028,-1.427550,3.596695,5.246526,3.140000
-0.634972,-1.314738,3.391635,6.042573,3.160000
-0.570057,-1.185559,3.083084,6.881652,3.180000
-0.512281,-1.039268,2.680923,7.750438,3.200000
-0.463213,-0.875552,2.222059,8.615304,3.220000
-0.423209,-0.695226,1.794859,9.390999,3.240000
-0.390169,-0.501604,1.555485,9.911903,3.260000
-0.358591,-0.301744,1.668026,9.992142,3.280000
-0.320856,-0.105176,2.159779,9.594433,3.300000
-0.270566,0.079774,2.894651,8.859306,3.320000
-0.204559,0.248015,3.708436,7.943929,3.340000
-0.122431,0.396919,4.494159,6.934695,3.360000
-0.025340,0.525023,5.199198,5.868127,3.380000
0.084856,0.631410,5.802899,4.766888,3.400000
0.206064,0.715656,6.300031,3.660091,3.420000
0.336132,0.778073,6.687964,2.593441,3.440000
0.472774,0.820118,6.953824,1.636576,3.460000
0.613255,0.844905,7.064821,0.884982,3.480000
0.754025,0.857567,6.975995,0.437721,3.500000
0.890802,0.864769,6.666460,0.337966,3.520000
1.019437,0.873033,6.172184,0.526411,3.540000
1.136954,0.886905,5.567443,0.876811,3.560000
1.241857,0.908389,4.919856,1.271630,3.580000
1.333739,0.937570,4.270044,1.638182,3.600000
1.412769,0.973502,3.636366,1.943630,3.620000
1.479344,1.014848,3.024931,2.179427,3.640000
1.533919,1.060240,2.436250,2.349603,3.660000
1.576933,1.108460,1.868406,2.464124,3.680000
1.608774,1.158517,1.318280,2.535472,3.700000
1.629757,1.209679,0.782011,2.576846,3.720000
1.640118,1.261477,0.255272,2.601068,3.740000
1.640002,1.313685,-0.266284,2.619591,3.760000
1.629477,1.366282,-0.786191,2.641111,3.780000
1.608556,1.419377,-1.305724,2.669392,3.800000
1.577268,1.473077,-1.821877,2.700168,3.820000
1.535763,1.527301,-2.325429,2.718093,3.840000
1.484437,1.581539,-2.801024,2.696479,3.860000
1.424025,1.634680,-3.231426,2.603199,3.880000
1.355562,1.685008,-3.605046,2.411797,3.900000
1.280209,1.730412,-3.921174,2.110083,3.920000
1.199042,1.768684,-4.188396,1.699558,3.940000
1.112921,1.797723,-4.418353,1.188363,3.960000
1.022495,1.815603,-4.619963,0.584864,3.980000
0.928289,1.820544,-4.796372,-0.104747,4.000000
0.830830,1.810871,-4.943989,-0.875649,4.020000
0.730788,1.785013,-5.052466,-1.722199,4.040000
0.629102,1.741536,-5.105093,-2.635692,4.060000
0.527104,1.679225,-5.079702,-3.603005,4.080000
0.426607,1.597171,-4.950358,-4.606925,4.100000
0.329964,1.494829,-4.689967,-5.628853,4.120000
0.240052,1.371997,-4.273426,-6.654221,4.140000
0.160207,1.228662,-3.680326,-7.680241,4.160000
0.094116,1.064672,-2.896111,-8.724697,4.180000
0.045697,0.879259,-1.912610,-9.832258,4.200000
0.018902,0.670539,-0.738575,-11.064394,4.220000
0.016878,0.435822,0.531696,-12.411006,4.240000
0.038230,0.175765,1.490493,-13.478797,4.260000
0.069242,-0.095425,1.408182,-13.416136,4.280000
0.087721,-0.353492,0.340933,-12.290929,4.300000
0.081330,-0.585811,-0.979183,-10.948499,4.320000
0.049366,-0.792281,-2.188168,-9.720639,4.340000
-0.004900,-0.975343,-3.205033,-8.597464,4.360000
-0.077497,-1.136443,-4.021819,-7.514933,4.380000
-0.164486,-1.275918,-4.646076,-6.430372,4.400000
-0.262156,-1.393543,-5.093168,-5.329596,4.420000
-0.367182,-1.489036,-5.386030,-4.219470,4.440000
