theta1,theta2,omega1,omega2,t
1.570796,1.570796,0.000000,0.000000,0.000000
1.570793,1.570796,-0.012262,-0.000000,0.000500
1.570784,1.570796,-0.024525,-0.000000,0.001000
1.570769,1.570796,-0.036787,-0.000000,0.001500
1.570747,1.570796,-0.049050,-0.000000,0.002000
1.570720,1.570796,-0.061312,-0.000000,0.002500
1.570686,1.570796,-0.073575,-0.000000,0.003000
1.570646,1.570796,-0.085837,-0.000000,0.003500
1.570600,1.570796,-0.098100,-0.000000,0.004000
1.570548,1.570796,-0.110362,-0.000000,0.004500
1.570490,1.570796,-0.122625,-0.000000,0.005000
1.570425,1.570796,-0.134887,-0.000000,0.005500
1.570355,1.570796,-0.147150,-0.000000,0.006000
1.570278,1.570796,-0.159412,-0.000000,0.006500
1.570195,1.570796,-0.171675,-0.000000,0.007000
1.570107,1.570796,-0.183937,-0.000000,0.007500
1.570012,1.570796,-0.196200,-0.000000,0.008000
1.569910,1.570796,-0.208462,-0.000000,0.008500
1.569803,1.570796,-0.220725,-0.000000,0.009000
1.569690,1.570796,-0.232987,-0.000000,0.009500
1.569570,1.570796,-0.245250,-0.000000,0.010000
1.569444,1.570796,-0.257512,-0.000001,0.010500
1.569313,1.570796,-0.269775,-0.000001,0.011000
1.569175,1.570796,-0.282037,-0.000001,0.011500
1.569031,1.570796,-0.294299,-0.000001,0.012000
1.568880,1.570796,-0.306562,-0.000001,0.012500
1.568724,1.570796,-0.318824,-0.000002,0.013000
1.568561,1.570796,-0.331086,-0.000002,0.013500
1.568393,1.570796,-0.343349,-0.000002,0.014000
1.568218,1.570796,-0.355611,-0.000003,0.014500
1.568037,1.570796,-0.367873,-0.000003,0.015000
1.567850,1.570796,-0.380135,-0.000004,0.015500
1.567657,1.570796,-0.392397,-0.000005,0.016000
1.567458,1.570796,-0.404659,-0.000005,0.016500
1.567252,1.570796,-0.416921,-0.000006,0.017000
1.567041,1.570796,-0.429183,-0.000007,0.017500
1.566823,1.570796,-0.441445,-0.000008,0.018000
1.566600,1.570796,-0.453707,-0.000010,0.018500
1.566370,1.570796,-0.465969,-0.000011,0.019000
1.566134,1.570796,-0.478230,-0.000012,0.019500
1.565891,1.570796,-0.490492,-0.000014,0.020000
1.565643,1.570796,-0.502753,-0.000016,0.020500
1.565389,1.570796,-0.515014,-0.000018,0.021000
1.565128,1.570796,-0.527276,-0.000020,0.021500
